,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,lname,sorted_date
228067,41142418,CAFE D'ALSACE,MANHATTAN,1695,2 AVENUE,10128.0,2127225133,French,03/24/2016,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,cafe d'alsace,2016-03-24
272518,41142418,CAFE D'ALSACE,MANHATTAN,1695,2 AVENUE,10128.0,2127225133,French,04/06/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9.0,A,04/06/2016,08/28/2017,Cycle Inspection / Re-inspection,cafe d'alsace,2016-04-06
386985,41142418,CAFE D'ALSACE,MANHATTAN,1695,2 AVENUE,10128.0,2127225133,French,04/06/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,04/06/2016,08/28/2017,Cycle Inspection / Re-inspection,cafe d'alsace,2016-04-06
207042,41142418,CAFE D'ALSACE,MANHATTAN,1695,2 AVENUE,10128.0,2127225133,French,09/23/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,,,08/28/2017,Cycle Inspection / Initial Inspection,cafe d'alsace,2016-09-23
222857,41142418,CAFE D'ALSACE,MANHATTAN,1695,2 AVENUE,10128.0,2127225133,French,09/23/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,,,08/28/2017,Cycle Inspection / Initial Inspection,cafe d'alsace,2016-09-23
398078,41142418,CAFE D'ALSACE,MANHATTAN,1695,2 AVENUE,10128.0,2127225133,French,09/23/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,,,08/28/2017,Cycle Inspection / Initial Inspection,cafe d'alsace,2016-09-23
62433,41142418,CAFE D'ALSACE,MANHATTAN,1695,2 AVENUE,10128.0,2127225133,French,11/10/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,11/10/2016,08/28/2017,Cycle Inspection / Re-inspection,cafe d'alsace,2016-11-10
338728,41142418,CAFE D'ALSACE,MANHATTAN,1695,2 AVENUE,10128.0,2127225133,French,11/10/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9.0,A,11/10/2016,08/28/2017,Cycle Inspection / Re-inspection,cafe d'alsace,2016-11-10
345972,41142418,CAFE D'ALSACE,MANHATTAN,1695,2 AVENUE,10128.0,2127225133,French,11/10/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,11/10/2016,08/28/2017,Cycle Inspection / Re-inspection,cafe d'alsace,2016-11-10
220967,41142418,CAFE D'ALSACE,MANHATTAN,1695,2 AVENUE,10128.0,2127225133,French,05/18/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,5.0,A,05/18/2017,08/28/2017,Cycle Inspection / Initial Inspection,cafe d'alsace,2017-05-18
44656,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",07/31/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,calle ocho,2014-07-31
71161,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",07/31/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,calle ocho,2014-07-31
84490,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",07/31/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,calle ocho,2014-07-31
121471,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",07/31/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,calle ocho,2014-07-31
144937,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",07/31/2014,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,calle ocho,2014-07-31
380319,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",07/31/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,calle ocho,2014-07-31
128510,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",08/28/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12.0,A,08/28/2014,08/28/2017,Cycle Inspection / Re-inspection,calle ocho,2014-08-28
198078,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",08/28/2014,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,08/28/2017,Smoke-Free Air Act / Re-inspection,calle ocho,2014-08-28
308222,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",08/28/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,08/28/2014,08/28/2017,Cycle Inspection / Re-inspection,calle ocho,2014-08-28
61607,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",02/11/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,02/11/2015,08/28/2017,Cycle Inspection / Initial Inspection,calle ocho,2015-02-11
66548,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04/19/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12.0,,,08/28/2017,Cycle Inspection / Initial Inspection,calle ocho,2016-04-19
256180,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04/19/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,,,08/28/2017,Cycle Inspection / Initial Inspection,calle ocho,2016-04-19
119824,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/04/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,10/04/2016,08/28/2017,Cycle Inspection / Re-inspection,calle ocho,2016-10-04
266612,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/04/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10.0,A,10/04/2016,08/28/2017,Cycle Inspection / Re-inspection,calle ocho,2016-10-04
43017,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",05/09/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12.0,A,05/09/2017,08/28/2017,Cycle Inspection / Initial Inspection,calle ocho,2017-05-09
279552,41601712,CALLE OCHO,MANHATTAN,45,WEST   81 STREET,10024.0,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",05/09/2017,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,12.0,A,05/09/2017,08/28/2017,Cycle Inspection / Initial Inspection,calle ocho,2017-05-09
18823,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,05/14/2015,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,29.0,,,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2015-05-14
32127,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,05/14/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,29.0,,,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2015-05-14
50189,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,05/14/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,29.0,,,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2015-05-14
124667,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,05/14/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,29.0,,,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2015-05-14
128831,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,05/14/2015,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,29.0,,,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2015-05-14
200979,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,05/14/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,29.0,,,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2015-05-14
278412,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,05/14/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,29.0,,,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2015-05-14
282857,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,05/14/2015,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,08/28/2017,Administrative Miscellaneous / Initial Inspection,casa lever,2015-05-14
365214,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,05/14/2015,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,29.0,,,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2015-05-14
51977,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,06/01/2015,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,9.0,A,06/01/2015,08/28/2017,Cycle Inspection / Re-inspection,casa lever,2015-06-01
267001,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,06/01/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,06/01/2015,08/28/2017,Cycle Inspection / Re-inspection,casa lever,2015-06-01
348770,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,06/01/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,06/01/2015,08/28/2017,Cycle Inspection / Re-inspection,casa lever,2015-06-01
40997,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,11/10/2015,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,12.0,A,11/10/2015,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2015-11-10
48510,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,11/10/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,11/10/2015,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2015-11-10
227422,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,11/10/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,11/10/2015,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2015-11-10
327050,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,11/10/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,11/10/2015,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2015-11-10
24429,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,02/02/2017,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,18.0,,,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2017-02-02
64516,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,02/02/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18.0,,,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2017-02-02
273467,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,02/02/2017,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,18.0,,,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2017-02-02
110230,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,03/02/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,03/02/2017,08/28/2017,Cycle Inspection / Re-inspection,casa lever,2017-03-02
276785,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,03/02/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13.0,A,03/02/2017,08/28/2017,Cycle Inspection / Re-inspection,casa lever,2017-03-02
61091,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,08/25/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,08/25/2017,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2017-08-25
202485,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,08/25/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12.0,A,08/25/2017,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2017-08-25
247607,41436878,CASA LEVER,MANHATTAN,390,PARK AVENUE,10022.0,2128882700,Italian,08/25/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,08/25/2017,08/28/2017,Cycle Inspection / Initial Inspection,casa lever,2017-08-25
30085,50066417,CHAZZ PALMINTERI ITALIAN RESTAURANT,MANHATTAN,30,W 46TH ST,10036.0,2123555540,American,07/20/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26.0,Not Yet Graded,,08/28/2017,Pre-permit (Operational) / Initial Inspection,chazz palminteri italian restaurant,2017-07-20
90460,50066417,CHAZZ PALMINTERI ITALIAN RESTAURANT,MANHATTAN,30,W 46TH ST,10036.0,2123555540,American,07/20/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,26.0,Not Yet Graded,,08/28/2017,Pre-permit (Operational) / Initial Inspection,chazz palminteri italian restaurant,2017-07-20
165682,50066417,CHAZZ PALMINTERI ITALIAN RESTAURANT,MANHATTAN,30,W 46TH ST,10036.0,2123555540,American,07/20/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26.0,Not Yet Graded,,08/28/2017,Pre-permit (Operational) / Initial Inspection,chazz palminteri italian restaurant,2017-07-20
323860,50066417,CHAZZ PALMINTERI ITALIAN RESTAURANT,MANHATTAN,30,W 46TH ST,10036.0,2123555540,American,07/20/2017,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,26.0,Not Yet Graded,,08/28/2017,Pre-permit (Operational) / Initial Inspection,chazz palminteri italian restaurant,2017-07-20
193735,40384671,CHEZ JOSEPHINE,MANHATTAN,414,WEST   42 STREET,10036.0,2125941925,French,12/17/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,12/17/2014,08/28/2017,Cycle Inspection / Initial Inspection,chez josephine,2014-12-17
278283,40384671,CHEZ JOSEPHINE,MANHATTAN,414,WEST   42 STREET,10036.0,2125941925,French,12/17/2014,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,08/28/2017,Administrative Miscellaneous / Initial Inspection,chez josephine,2014-12-17
330292,40384671,CHEZ JOSEPHINE,MANHATTAN,414,WEST   42 STREET,10036.0,2125941925,French,12/17/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,12/17/2014,08/28/2017,Cycle Inspection / Initial Inspection,chez josephine,2014-12-17
392149,40384671,CHEZ JOSEPHINE,MANHATTAN,414,WEST   42 STREET,10036.0,2125941925,French,12/17/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,12/17/2014,08/28/2017,Cycle Inspection / Initial Inspection,chez josephine,2014-12-17
259275,40384671,CHEZ JOSEPHINE,MANHATTAN,414,WEST   42 STREET,10036.0,2125941925,French,04/20/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10.0,A,04/20/2016,08/28/2017,Cycle Inspection / Initial Inspection,chez josephine,2016-04-20
354921,40384671,CHEZ JOSEPHINE,MANHATTAN,414,WEST   42 STREET,10036.0,2125941925,French,04/20/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,04/20/2016,08/28/2017,Cycle Inspection / Initial Inspection,chez josephine,2016-04-20
362813,40384671,CHEZ JOSEPHINE,MANHATTAN,414,WEST   42 STREET,10036.0,2125941925,French,04/20/2016,Violations were cited in the following area(s).,15I,''''No Smoking and/or 'Smoking Permitted sign not conspicuously posted. Health warning not present on 'Smoking Permitted,Not Critical,,,,08/28/2017,Smoke-Free Air Act / Initial Inspection,chez josephine,2016-04-20
31328,40384671,CHEZ JOSEPHINE,MANHATTAN,414,WEST   42 STREET,10036.0,2125941925,French,07/27/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,26.0,,,08/28/2017,Cycle Inspection / Initial Inspection,chez josephine,2017-07-27
38136,40384671,CHEZ JOSEPHINE,MANHATTAN,414,WEST   42 STREET,10036.0,2125941925,French,07/27/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,26.0,,,08/28/2017,Cycle Inspection / Initial Inspection,chez josephine,2017-07-27
77535,40384671,CHEZ JOSEPHINE,MANHATTAN,414,WEST   42 STREET,10036.0,2125941925,French,07/27/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26.0,,,08/28/2017,Cycle Inspection / Initial Inspection,chez josephine,2017-07-27
362265,40384671,CHEZ JOSEPHINE,MANHATTAN,414,WEST   42 STREET,10036.0,2125941925,French,07/27/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,26.0,,,08/28/2017,Cycle Inspection / Initial Inspection,chez josephine,2017-07-27
54109,50009906,CLAUDETTE,MANHATTAN,24,5TH AVE,10011.0,2128682424,French,09/09/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,53.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,claudette,2014-09-09
77022,50009906,CLAUDETTE,MANHATTAN,24,5TH AVE,10011.0,2128682424,French,09/09/2014,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,08/28/2017,Trans Fat / Initial Inspection,claudette,2014-09-09
95371,50009906,CLAUDETTE,MANHATTAN,24,5TH AVE,10011.0,2128682424,French,09/09/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,53.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,claudette,2014-09-09
129062,50009906,CLAUDETTE,MANHATTAN,24,5TH AVE,10011.0,2128682424,French,09/09/2014,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,53.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,claudette,2014-09-09
143312,50009906,CLAUDETTE,MANHATTAN,24,5TH AVE,10011.0,2128682424,French,09/09/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,53.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,claudette,2014-09-09
211834,50009906,CLAUDETTE,MANHATTAN,24,5TH AVE,10011.0,2128682424,French,09/09/2014,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,53.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,claudette,2014-09-09
255326,50009906,CLAUDETTE,MANHATTAN,24,5TH AVE,10011.0,2128682424,French,09/09/2014,Violations were cited in the following area(s).,02A,Food not cooked to required minimum temperature.,Critical,53.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,claudette,2014-09-09
346709,50009906,CLAUDETTE,MANHATTAN,24,5TH AVE,10011.0,2128682424,French,09/09/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,53.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,claudette,2014-09-09
377936,50009906,CLAUDETTE,MANHATTAN,24,5TH AVE,10011.0,2128682424,French,09/09/2014,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,53.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,claudette,2014-09-09
159326,50009906,CLAUDETTE,MANHATTAN,24,5TH AVE,10011.0,2128682424,French,10/09/2014,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,11.0,A,10/09/2014,08/28/2017,Pre-permit (Operational) / Re-inspection,claudette,2014-10-09
274007,50009906,CLAUDETTE,MANHATTAN,24,5TH AVE,10011.0,2128682424,French,10/09/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,10/09/2014,08/28/2017,Pre-permit (Operational) / Re-inspection,claudette,2014-10-09
303741,50009906,CLAUDETTE,MANHATTAN,24,5TH AVE,10011.0,2128682424,French,10/09/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,10/09/2014,08/28/2017,Pre-permit (Operational) / Re-inspection,claudette,2014-10-09
